Team,KP Rank,KP Conference,Win Loss,KP Net Rtg,NCAA Rank,Road,Neutral,Home,Quad1,Quad2,Quad3,Quad4,RPI Rank,RPI Rating,SOS Rank,SOS Rating,BPI Rating,BPI Rank
Auburn,1,SEC,4-0,+30.67,5,5-5,7-1,15-1,3-7,10-0,9-0,5-0,8,0.757,3,12.1,20.1,3
Gonzaga,2,WCC,4-0,+30.04,17,8-2,4-3,12-2,3-6,4-1,5-0,12-0,1,0.861,4,11.3,18.5,7
Houston,3,B12,2-1,+29.93,1,7-3,6-1,17-0,16-4,3-0,4-0,7-0,211,0.477,1,13.7,22.6,1
Duke,4,ACC,3-1,+28.18,10,7-4,2-1,15-3,5-4,6-4,7-0,6-0,117,0.550,11,8.7,22.2,2
UConn,5,BE,4-0,+26.51,2,9-3,6-0,16-0,13-3,8-0,1-0,9-0,252,0.444,240,-4.9,19.0,5
Tennessee,6,SEC,4-0,+26.17,7,8-3,2-3,14-2,8-7,5-1,6-0,5-0,12,0.734,24,5.3,19.4,4
Iowa State,7,B12,3-0,+24.67,6,5-5,4-2,18-0,10-6,6-1,2-0,9-0,242,0.451,278,-6.5,17.4,12
Kansas,8,B12,5-0,+24.56,19,3-7,3-2,15-1,7-9,6-0,4-1,4-0,11,0.753,14,8.4,17.8,10
Texas Tech,9,B12,4-0,+23.57,27,4-6,4-2,15-2,6-9,4-1,6-0,7-0,96,0.568,298,-7.3,15.6,18
Cincinnati,10,B12,4-0,+23.34,37,4-7,2-2,14-5,4-11,3-1,4-2,9-0,257,0.440,166,-2.5,16.6,14
Alabama,11,SEC,3-1,+23.14,9,5-5,2-4,14-2,4-10,7-1,7-0,3-0,33,0.653,10,8.8,17.7,11
Baylor,12,B12,3-1,+22.78,15,4-5,4-3,14-2,10-9,4-1,3-0,5-0,22,0.683,2,12.9,18.1,8
North Carolina,13,ACC,2-1,+22.74,8,8-2,5-4,14-1,9-3,7-4,6-0,5-0,151,0.524,6,10.6,18.8,6
Marquette,14,BE,5-0,+22.67,14,7-5,4-2,14-2,9-8,6-1,4-0,6-0,10,0.754,12,8.7,15.9,17
Texas A&M,15,SEC,3-1,+22.26,45,6-6,4-3,10-5,7-7,6-3,2-4,5-0,50,0.623,16,7.4,14.7,21
Pittsburgh,16,ACC,5-0,+22.22,40,7-4,2-2,13-5,4-6,5-3,6-2,7-0,3,0.819,85,0.8,14.6,22
St. John's,17,BE,4-0,+21.74,32,5-6,2-2,13-5,4-10,6-2,3-1,7-0,14,0.714,90,0.4,13.9,25
Arizona,18,B12,2-1,+21.71,4,7-4,3-3,15-1,8-3,7-4,8-1,2-0,185,0.500,17,6.9,17.9,9
Kentucky,19,SEC,4-0,+21.56,18,7-3,2-2,14-4,6-7,2-1,8-1,7-0,13,0.716,13,8.6,17.2,13
Creighton,20,BE,4-0,+21.30,11,8-5,1-2,14-2,8-5,7-4,1-0,7-0,108,0.558,258,-5.7,16.2,16
Ohio State,21,B10,3-1,+21.01,49,2-8,5-1,13-4,3-7,3-5,9-1,5-0,82,0.584,7,10.4,14.1,24
