Team,BPI Rating,BPI Rank
Houston Cougars,23.0,1
UConn Huskies,22.7,2
Purdue Boilermakers,20.3,3
Auburn Tigers,18.5,4
Iowa State Cyclones,18.2,5
Arizona Wildcats,18.2,6
Tennessee Volunteers,18.1,7
Duke Blue Devils,17.9,8
North Carolina Tar Heels,17.0,9
Creighton Bluejays,16.8,10
Illinois Fighting Illini,16.3,11
Alabama Crimson Tide,16.2,12
Marquette Golden Eagles,15.3,13
Baylor Bears,15.1,14
Gonzaga Bulldogs,14.9,15
Saint Mary's Gaels,14.0,16
Michigan State Spartans,13.8,17
BYU Cougars,13.5,18
Wisconsin Badgers,13.3,19
Clemson Tigers,12.9,20
Kansas Jayhawks,12.7,21
Texas Longhorns,12.7,22
St. John's Red Storm,12.7,23
Kentucky Wildcats,12.6,24
Florida Gators,12.1,25
Texas Tech Red Raiders,11.7,26
Pittsburgh Panthers,11.6,27
Texas A&M Aggies,11.5,28
Dayton Flyers,11.5,29
Cincinnati Bearcats,11.5,30
Wake Forest Demon Deacons,11.5,31
Villanova Wildcats,11.4,32
TCU Horned Frogs,11.4,33
Mississippi State Bulldogs,11.1,34
San Diego State Aztecs,11.1,35
Florida Atlantic Owls,11.0,36
Nebraska Cornhuskers,10.7,37
Oklahoma Sooners,10.6,38
Northwestern Wildcats,10.3,39
Indiana State Sycamores,10.2,40
NC State Wolfpack,10.1,41
Washington State Cougars,10.1,42
Ohio State Buckeyes,9.9,43
Virginia Tech Hokies,9.8,44
Colorado Buffaloes,9.7,45
Providence Friars,9.4,46
Iowa Hawkeyes,9.3,47
Boise State Broncos,9.2,48
New Mexico Lobos,9.1,49
Utah Utes,9.1,50
