Team,BPI Rating,BPI Rank
Houston,23.0,1
UConn,22.7,2
Purdue,20.3,3
Auburn,18.5,4
Iowa St,18.2,5
Arizona,18.2,6
Tennessee,18.1,7
Duke,17.9,8
N Carolina,17.0,9
Creighton,16.8,10
Illinois,16.3,11
Alabama,16.2,12
Marquette,15.3,13
Baylor,15.1,14
Gonzaga,14.9,15
St Marys,14.0,16
Michigan St,13.8,17
BYU,13.5,18
Wisconsin,13.3,19
Clemson,12.9,20
Kansas,12.7,21
Texas,12.7,22
St Johns,12.7,23
Kentucky,12.6,24
Florida,12.1,25
Texas Tech,11.7,26
Pittsburgh,11.6,27
Texas A&M,11.5,28
Dayton,11.5,29
Cincinnati,11.5,30
Wake Forest,11.5,31
Villanova,11.4,32
TX Christian,11.4,33
Miss State,11.1,34
San Diego St,11.1,35
Fla Atlantic,11.0,36
Nebraska,10.7,37
Oklahoma,10.6,38
Northwestern,10.3,39
Indiana St,10.2,40
NC State,10.1,41
Wash State,10.1,42
Ohio St,9.9,43
VA Tech,9.8,44
Colorado,9.7,45
Providence,9.4,46
Iowa,9.3,47
Boise St,9.2,48
New Mexico,9.1,49
Utah,9.1,50
