Team,KP Rank,KP Conference,Win Loss,KP Net Rtg
Houston,1,B12,0-0,+29.45
Duke,2,ACC,0-0,+26.67
Auburn,3,SEC,0-0,+26.21
Alabama,4,SEC,0-0,+25.66
UConn,5,BE,0-0,+25.58
Kansas,6,B12,0-0,+24.42
Iowa St.,7,B12,0-0,+24.42
Arizona,8,B12,0-0,+23.76
Gonzaga,9,WCC,0-0,+23.41
Purdue,10,B10,0-0,+23.40
Baylor,11,B12,0-0,+23.20
Creighton,12,BE,0-0,+23.13
Tennessee,13,SEC,0-0,+22.15
UNC,14,ACC,0-0,+22.14
Texas Tech,15,B12,0-0,+22.02
Texas A&M,16,SEC,0-0,+21.51
Cincinnati,17,B12,0-0,+20.22
Texas,18,SEC,0-0,+20.05
St. John's,19,BE,0-0,+19.72
Villanova,20,BE,0-0,+19.68
BYU,21,B12,0-0,+19.21
Marquette,22,BE,0-0,+19.21
Illinois,23,B10,0-0,+18.76
Clemson,24,ACC,0-0,+18.62
Arkansas,25,SEC,0-0,+18.41
UCLA,26,B10,0-0,+18.36
Dayton,27,A10,0-0,+18.34
Florida,28,SEC,0-0,+18.33
Oregon,29,B10,0-0,+18.17
Xavier,30,BE,0-0,+18.11
Ohio St.,31,B10,0-0,+18.01
Mississippi St.,32,SEC,0-0,+17.95
Iowa,33,B10,0-0,+17.95
St. Mary's,34,WCC,0-0,+17.06
Michigan St.,35,B10,0-0,+16.96
Michigan,36,B10,0-0,+16.91
Maryland,37,B10,0-0,+16.74
Pittsburgh,38,ACC,0-0,+16.72
Indiana,39,B10,0-0,+16.21
Oklahoma,40,SEC,0-0,+16.18
VCU,41,A10,0-0,+15.85
Kentucky,42,SEC,0-0,+15.75
Memphis,43,Amer,0-0,+15.75
Wake Forest,44,ACC,0-0,+15.63
Boise St.,45,MWC,0-0,+15.41
Wisconsin,46,B10,0-0,+15.21
Mississippi,47,SEC,0-0,+15.18
San Diego St.,48,MWC,0-0,+15.05
Kansas St.,49,B12,0-0,+14.98
Northwestern,50,B10,0-0,+14.53
LSU,51,SEC,0-0,+14.51
N.C. State,52,ACC,0-0,+14.40
Missouri,53,SEC,0-0,+14.38
Grand Canyon,54,WAC,0-0,+14.11
Miami FL,55,ACC,0-0,+14.09
Nebraska,56,B10,0-0,+13.83
USC,57,B10,0-0,+13.82
TCU,58,B12,0-0,+13.40
Minnesota,59,B10,0-0,+13.17
Providence,60,BE,0-0,+13.13
Penn St.,61,B10,0-0,+13.12
New Mexico,62,MWC,0-0,+12.76
Rutgers,63,B10,0-0,+12.44
Louisville,64,ACC,0-0,+12.32
South Carolina,65,SEC,0-0,+12.29
UCF,66,B12,0-0,+12.22
Georgia,67,SEC,0-0,+12.22
Syracuse,68,ACC,0-0,+11.91
Notre Dame,69,ACC,0-0,+11.48
Georgia Tech,70,ACC,0-0,+11.44
Arizona St.,71,B12,0-0,+11.39
Utah St.,72,MWC,0-0,+11.33
Nevada,73,MWC,0-0,+11.28
SMU,74,ACC,0-0,+11.18
Washington,75,B10,0-0,+11.09
Colorado St.,76,MWC,0-0,+11.03
Princeton,77,Ivy,0-0,+10.78
Virginia,78,ACC,0-0,+10.64
Loyola Chicago,79,A10,0-0,+10.52
Colorado,80,B12,0-0,+10.23
North Texas,81,Amer,0-0,+10.12
Utah,82,B12,0-0,+10.02
Butler,83,BE,0-0,+9.97
UAB,84,Amer,0-0,+9.92
San Francisco,85,WCC,0-0,+9.86
St. Joseph's,86,A10,0-0,+9.64
West Virginia,87,B12,0-0,+9.61
Georgetown,88,BE,0-0,+9.37
