Team,NCAA Rank,Road,Neutral,Home,Quad1,Quad2,Quad3,Quad4
Houston,1,7-3,6-1,17-0,16-4,3-0,4-0,7-0
UConn,2,9-3,6-0,16-0,13-3,8-0,1-0,9-0
Purdue,3,7-3,6-1,16-0,12-4,8-0,6-0,3-0
Arizona,4,7-4,3-3,15-1,8-3,7-4,8-1,2-0
Auburn,5,5-5,7-1,15-1,3-7,10-0,9-0,5-0
Iowa St.,6,5-5,4-2,18-0,10-6,6-1,2-0,9-0
Tennessee,7,8-3,2-3,14-2,8-7,5-1,6-0,5-0
UNC,8,8-2,5-4,14-1,9-3,7-4,6-0,5-0
Alabama,9,5-5,2-4,14-2,4-10,7-1,7-0,3-0
Duke,10,7-4,2-1,15-3,5-4,6-4,7-0,6-0
Creighton,11,8-5,1-2,14-2,8-5,7-4,1-0,7-0
BYU,12,3-7,4-1,16-2,6-8,5-2,4-0,8-0
Illinois,13,6-5,5-0,15-3,8-6,6-1,7-1,5-0
Marquette,14,7-5,4-2,14-2,9-8,6-1,4-0,6-0
Baylor,15,4-5,4-3,14-2,10-9,4-1,3-0,5-0
St. Mary's,16,9-0,3-3,13-4,5-3,3-2,5-2,12-0
Gonzaga,17,8-2,4-3,12-2,3-6,4-1,5-0,12-0
Kentucky,18,7-3,2-2,14-4,6-7,2-1,8-1,7-0
Kansas,19,3-7,3-2,15-1,7-9,6-0,4-1,4-0
San Diego St.,20,6-8,4-1,12-1,4-9,6-1,6-0,6-0
Wisconsin,21,3-9,5-1,14-3,5-9,9-4,4-0,4-0
New Mexico,22,5-6,8-0,12-3,5-6,3-1,7-1,10-1
Dayton,23,6-5,3-2,15-0,3-4,5-3,9-0,7-0
Michigan St.,24,3-7,2-3,14-4,3-9,6-5,6-0,4-0
Colorado,25,4-7,4-2,16-1,4-5,6-5,7-0,7-0
Boise St.,26,7-3,2-4,11-3,6-5,3-4,3-1,8-0
Texas Tech,27,4-6,4-2,15-2,6-9,4-1,6-0,7-0
Indiana St.,28,9-4,6-1,12-1,1-4,4-1,10-0,12-1
Florida,29,3-7,7-3,14-1,6-8,4-2,9-1,5-0
Texas,30,4-6,2-2,14-4,5-9,3-2,5-1,7-0
Mississippi St.,31,2-8,8-1,11-4,4-9,4-3,7-0,6-1
St. John's,32,5-6,2-2,13-5,4-10,6-2,3-1,7-0
Nebraska,33,3-8,2-1,18-1,4-7,5-3,7-0,7-0
Nevada,34,8-3,3-2,14-2,6-6,2-0,8-1,9-0
Clemson,35,6-6,3-1,12-4,5-5,5-5,6-1,5-0
Colorado St.,36,4-7,5-1,13-2,6-7,3-2,7-1,6-0
Cincinnati,37,4-7,2-2,14-5,4-11,3-1,4-2,9-0
Utah St.,38,8-4,5-1,12-1,4-5,4-1,7-0,10-0
Fla. Atlantic,39,5-5,7-2,13-1,2-2,8-3,8-1,7-2
Pittsburgh,40,7-4,2-2,13-5,4-6,5-3,6-2,7-0
Villanova,41,4-8,4-2,10-5,4-11,5-1,3-3,6-0
TCU,42,6-5,3-3,12-4,5-11,3-1,5-0,8-0
Wake Forest,43,2-9,2-3,16-1,2-8,7-4,5-1,6-0
Washington St.,44,6-4,3-3,15-2,6-4,3-4,7-1,8-0
Texas A&M,45,6-6,4-3,10-5,7-7,6-3,2-4,5-0
Oklahoma,46,3-6,3-2,14-4,4-12,5-0,3-0,8-0
Drake,47,6-5,6-1,15-0,4-1,3-3,9-2,11-0
Utah,48,2-9,3-3,14-2,4-9,4-3,6-2,5-0
Ohio St.,49,2-8,5-1,13-4,3-7,3-5,9-1,5-0
Grand Canyon,50,8-3,4-1,16-0,1-0,2-2,11-2,14-0
South Carolina,51,8-3,4-1,14-3,6-5,5-0,6-2,9-0
James Madison,52,12-2,5-0,13-1,1-1,0-1,7-1,22-0
Northwestern,53,4-7,2-2,15-2,4-7,5-3,5-0,7-1
Virginia,54,5-6,3-2,15-2,2-7,8-3,7-0,6-0
Princeton,55,11-3,1-1,10-0,0-0,2-3,11-1,9-0
McNeese,56,11-3,1-0,14-0,1-0,2-2,4-0,19-1
Bradley,57,6-6,3-2,12-3,0-4,3-4,12-2,6-1
Providence,58,4-7,3-2,14-4,6-9,3-4,1-0,11-0
Oregon,59,6-5,4-3,13-3,4-6,5-4,8-1,6-0
Virginia Tech,60,2-9,2-3,14-2,3-7,3-6,6-1,6-0
UCF,61,3-7,3-1,11-7,4-10,2-2,4-2,7-1
Iowa,62,4-8,2-2,12-4,3-9,5-3,4-2,6-0
NC State,63,4-7,6-2,12-5,3-8,6-5,4-1,9-0
Xavier,64,3-8,2-2,11-7,2-13,6-2,1-1,7-1
SMU,65,5-7,1-2,13-3,0-4,2-5,8-2,9-1
San Francisco,66,6-5,3-3,13-2,0-8,1-2,6-0,15-0
Seton Hall,67,5-7,1-2,14-3,5-8,4-3,2-1,9-0
