Team,BPI Rating,BPI Rank
Houston Cougars,23.0,1
UConn Huskies,22.7,2
Purdue Boilermakers,20.3,3
Auburn Tigers,18.5,4
Iowa State Cyclones,18.2,5
Arizona Wildcats,18.2,6
Tennessee Volunteers,18.1,7
Duke Blue Devils,17.9,8
North Carolina Tar Heels,17.0,9
Creighton Bluejays,16.8,10
Illinois Fighting Illini,16.3,11
Alabama Crimson Tide,16.2,12
Marquette Golden Eagles,15.3,13
Baylor Bears,15.1,14
Gonzaga Bulldogs,14.9,15
Saint Mary's Gaels,14.0,16
Michigan State Spartans,13.8,17
BYU Cougars,13.5,18
Wisconsin Badgers,13.3,19
Clemson Tigers,12.9,20
Kansas Jayhawks,12.7,21
Texas Longhorns,12.7,22
St. John's Red Storm,12.7,23
Kentucky Wildcats,12.6,24
Florida Gators,12.1,25
Texas Tech Red Raiders,11.7,26
Pittsburgh Panthers,11.6,27
Texas A&M Aggies,11.5,28
Dayton Flyers,11.5,29
Cincinnati Bearcats,11.5,30
Wake Forest Demon Deacons,11.5,31
Villanova Wildcats,11.4,32
TCU Horned Frogs,11.4,33
Mississippi State Bulldogs,11.1,34
San Diego State Aztecs,11.1,35
Florida Atlantic Owls,11.0,36
Nebraska Cornhuskers,10.7,37
Oklahoma Sooners,10.6,38
Northwestern Wildcats,10.3,39
Indiana State Sycamores,10.2,40
NC State Wolfpack,10.1,41
Washington State Cougars,10.1,42
Ohio State Buckeyes,9.9,43
Virginia Tech Hokies,9.8,44
Colorado Buffaloes,9.7,45
Providence Friars,9.4,46
Iowa Hawkeyes,9.3,47
Boise State Broncos,9.2,48
New Mexico Lobos,9.1,49
Utah Utes,9.1,50
Xavier Musketeers,9.1,51
Grand Canyon Lopes,9.0,52
Seton Hall Pirates,9.0,53
James Madison Dukes,8.9,54
Oregon Ducks,8.9,55
Drake Bulldogs,8.8,56
Nevada Wolf Pack,8.8,57
UCF Knights,8.7,58
South Carolina Gamecocks,8.6,59
McNeese Cowboys,8.5,60
San Francisco Dons,8.5,61
Kansas State Wildcats,8.4,62
Virginia Cavaliers,8.4,63
Washington Huskies,8.2,64
Princeton Tigers,8.2,65
Maryland Terrapins,8.2,66
Colorado State Rams,7.9,67
UNLV Rebels,7.6,68
Yale Bulldogs,7.6,69
Utah State Aggies,7.4,70
Bradley Braves,7.3,71
VCU Rams,7.2,72
Boston College Eagles,7.1,73
SMU Mustangs,7.1,74
Butler Bulldogs,7.1,75
App State Mountaineers,7.1,76
Memphis Tigers,6.9,77
Florida State Seminoles,6.7,78
USC Trojans,6.6,79
Miami Hurricanes,6.6,80
Georgia Bulldogs,6.6,81
UC Irvine Anteaters,6.5,82
Richmond Spiders,6.5,83
Penn State Nittany Lions,6.4,84
Minnesota Golden Gophers,6.2,85
Vermont Catamounts,6.2,86
Saint Joseph's Hawks,6.2,87
North Texas Mean Green,6.0,88
LSU Tigers,6.0,89
Duquesne Dukes,5.9,90
South Florida Bulls,5.9,91
Massachusetts Minutemen,5.8,92
Ole Miss Rebels,5.7,93
Louisiana Tech Bulldogs,5.7,94
Samford Bulldogs,5.7,95
St. Bonaventure Bonnies,5.6,96
Syracuse Orange,5.5,97
Rutgers Scarlet Knights,5.5,98
Charleston Cougars,5.5,99
Indiana Hoosiers,5.4,100
Hofstra Pride,5.3,101
Loyola Chicago Ramblers,5.2,102
Cornell Big Red,5.1,103
Morehead State Eagles,5.0,104
George Mason Patriots,5.0,105
Seattle U Redhawks,4.8,106
UNC Wilmington Seahawks,4.7,107
UCLA Bruins,4.6,108
Drexel Dragons,4.5,109
Stanford Cardinal,4.5,110
Akron Zips,4.4,111
Liberty Flames,4.1,112
High Point Panthers,4.1,113
Arkansas Razorbacks,3.9,114
Colgate Raiders,3.8,115
UAB Blazers,3.7,116
Charlotte 49ers,3.4,117
Oklahoma State Cowboys,3.3,118
Ohio Bobcats,3.2,119
Toledo Rockets,3.1,120
UMass Lowell River Hawks,3.1,121
Northern Iowa Panthers,3.0,122
Southern Illinois Salukis,2.9,123
Santa Clara Broncos,2.8,124
Towson Tigers,2.7,125
Troy Trojans,2.7,126
Oakland Golden Grizzlies,2.6,127
Georgia Tech Yellow Jackets,2.6,128
California Golden Bears,2.5,129
Michigan Wolverines,2.4,130
Belmont Bruins,2.2,131
Western Carolina Catamounts,2.1,132
Youngstown State Penguins,2.1,133
Notre Dame Fighting Irish,2.1,134
Missouri Tigers,2.0,135
Davidson Wildcats,2.0,136
UC San Diego Tritons,1.9,137
Arkansas State Red Wolves,1.8,138
Tulane Green Wave,1.8,139
Eastern Washington Eagles,1.7,140
Purdue Fort Wayne Mastodons,1.6,141
Arizona State Sun Devils,1.5,142
St. Thomas-Minnesota Tommies,1.5,143
UNC Greensboro Spartans,1.5,144
UT Arlington Mavericks,1.4,145
Wichita State Shockers,1.4,146
Chattanooga Mocs,1.4,147
UNC Asheville Bulldogs,1.3,148
Winthrop Eagles,1.1,149
West Virginia Mountaineers,1.1,150
South Dakota State Jackrabbits,1.0,151
Longwood Lancers,1.0,152
Tarleton State Texans,0.9,153
Lipscomb Bisons,0.9,154
Kent State Golden Flashes,0.9,155
Delaware Blue Hens,0.9,156
Wright State Raiders,0.7,157
Quinnipiac Bobcats,0.6,158
Western Kentucky Hilltoppers,0.6,159
Sam Houston Bearkats,0.6,160
Louisiana Ragin' Cajuns,0.6,161
Missouri State Bears,0.5,162
Bryant Bulldogs,0.4,163
Fairfield Stags,0.2,164
Stony Brook Seawolves,0.2,165
Weber State Wildcats,0.1,166
Murray State Racers,0.1,167
Furman Paladins,-0.2,168
Stephen F. Austin Lumberjacks,-0.3,169
Pennsylvania Quakers,-0.4,170
Long Beach State Beach,-0.6,171
Texas A&M-Corpus Christi Islanders,-0.7,172
Oregon State Beavers,-0.8,173
Brown Bears,-0.8,174
La Salle Explorers,-0.9,175
Fordham Rams,-1.1,176
Eastern Kentucky Colonels,-1.2,177
Cleveland State Vikings,-1.2,178
Little Rock Trojans,-1.2,179
Columbia Lions,-1.3,180
East Carolina Pirates,-1.3,181
Norfolk State Spartans,-1.3,182
Temple Owls,-1.4,183
Stetson Hatters,-1.4,184
Texas State Bobcats,-1.4,185
Loyola Marymount Lions,-1.4,186
UTEP Miners,-1.4,187
East Tennessee State Buccaneers,-1.5,188
Iona Gaels,-1.5,189
Monmouth Hawks,-1.5,190
New Hampshire Wildcats,-1.6,191
Vanderbilt Commodores,-1.6,192
UC Davis Aggies,-1.6,193
Georgetown Hoyas,-1.7,194
Hawai'i Rainbow Warriors,-1.7,195
Georgia State Panthers,-1.7,196
Marist Red Foxes,-1.7,197
UIC Flames,-1.8,198
Maine Black Bears,-1.8,199
Tulsa Golden Hurricane,-1.8,200
Jacksonville State Gamecocks,-1.8,201
Gardner-Webb Runnin' Bulldogs,-1.9,202
Northern Kentucky Norse,-2.1,203
Illinois State Redbirds,-2.1,204
Montana Grizzlies,-2.1,205
Saint Louis Billikens,-2.2,206
Saint Peter's Peacocks,-2.2,207
Radford Highlanders,-2.3,208
Merrimack Warriors,-2.3,209
Harvard Crimson,-2.4,210
Austin Peay Governors,-2.4,211
Louisville Cardinals,-2.5,212
UAlbany Great Danes,-2.5,213
Rider Broncs,-2.6,214
Rice Owls,-2.6,215
North Carolina Central Eagles,-2.7,216
North Florida Ospreys,-2.7,217
George Washington Revolutionaries,-2.8,218
Bowling Green Falcons,-2.8,219
Rhode Island Rams,-2.9,220
Wofford Terriers,-2.9,221
Lamar Cardinals,-3.0,222
Utah Valley Wolverines,-3.1,223
Mount St. Mary's Mountaineers,-3.1,224
Kansas City Roos,-3.1,225
Marshall Thundering Herd,-3.1,226
North Alabama Lions,-3.2,227
Abilene Christian Wildcats,-3.2,228
UC Santa Barbara Gauchos,-3.2,229
Northeastern Huskies,-3.2,230
Evansville Purple Aces,-3.3,231
Central Connecticut Blue Devils,-3.3,232
California Baptist Lancers,-3.3,233
North Dakota Fighting Hawks,-3.4,234
Kennesaw State Owls,-3.4,235
Florida Gulf Coast Eagles,-3.4,236
Cal State Fullerton Titans,-3.5,237
Milwaukee Panthers,-3.6,238
Ball State Cardinals,-3.6,239
UT Martin Skyhawks,-3.7,240
Lehigh Mountain Hawks,-3.7,241
San José State Spartans,-3.7,242
Binghamton Bearcats,-3.7,243
Miami (OH) RedHawks,-3.8,244
Pepperdine Waves,-3.9,245
Fresno State Bulldogs,-4.0,246
Queens University Royals,-4.0,247
Cal State Northridge Matadors,-4.1,248
UC Riverside Highlanders,-4.2,249
Southern Jaguars,-4.2,250
Niagara Purple Eagles,-4.2,251
Southern Miss Golden Eagles,-4.3,252
Portland State Vikings,-4.4,253
Northern Colorado Bears,-4.5,254
UMBC Retrievers,-4.6,255
Green Bay Phoenix,-4.6,256
UTSA Roadrunners,-4.7,257
Nicholls Colonels,-4.7,258
Mercer Bears,-4.8,259
Cal State Bakersfield Roadrunners,-4.8,260
Wyoming Cowboys,-4.8,261
Presbyterian Blue Hose,-4.8,262
Howard Bison,-4.8,263
Canisius Golden Griffins,-4.9,264
North Dakota State Bison,-4.9,265
Florida International Panthers,-5.0,266
Bucknell Bison,-5.0,267
Texas Southern Tigers,-5.0,268
Sacred Heart Pioneers,-5.0,269
Western Illinois Leathernecks,-5.1,270
American University Eagles,-5.1,271
Jacksonville Dolphins,-5.1,272
Wagner Seahawks,-5.5,273
Oral Roberts Golden Eagles,-5.5,274
Georgia Southern Eagles,-5.5,275
Middle Tennessee Blue Raiders,-5.6,276
SIU Edwardsville Cougars,-5.7,277
The Citadel Bulldogs,-5.8,278
South Alabama Jaguars,-5.8,279
South Carolina Upstate Spartans,-5.9,280
Omaha Mavericks,-5.9,281
Boston University Terriers,-6.0,282
Old Dominion Monarchs,-6.0,283
Le Moyne Dolphins,-6.1,284
Montana State Bobcats,-6.1,285
Central Michigan Chippewas,-6.1,286
Idaho State Bengals,-6.3,287
Delaware State Hornets,-6.3,288
Tennessee State Tigers,-6.3,289
Chicago State Cougars,-6.3,290
Grambling Tigers,-6.4,291
Northern Illinois Huskies,-6.6,292
Jackson State Tigers,-6.6,293
Navy Midshipmen,-6.7,294
Robert Morris Colonials,-6.7,295
SE Louisiana Lions,-7.0,296
Western Michigan Broncos,-7.0,297
Campbell Fighting Camels,-7.1,298
Sacramento State Hornets,-7.1,299
Elon Phoenix,-7.1,300
William & Mary Tribe,-7.1,301
Eastern Illinois Panthers,-7.1,302
Bethune-Cookman Wildcats,-7.2,303
San Diego Toreros,-7.3,304
New Mexico State Aggies,-7.3,305
Utah Tech Trailblazers,-7.4,306
Bellarmine Knights,-7.5,307
Southern Utah Thunderbirds,-7.6,308
DePaul Blue Demons,-7.6,309
UL Monroe Warhawks,-7.6,310
Lafayette Leopards,-7.7,311
Coastal Carolina Chanticleers,-7.7,312
Fairleigh Dickinson Knights,-7.9,313
Alcorn State Braves,-8.1,314
Valparaiso Beacons,-8.1,315
South Carolina State Bulldogs,-8.2,316
Denver Pioneers,-8.3,317
Alabama State Hornets,-8.3,318
Charleston Southern Buccaneers,-8.5,319
Portland Pilots,-8.6,320
South Dakota Coyotes,-9.1,321
Arkansas-Pine Bluff Golden Lions,-9.2,322
NJIT Highlanders,-9.4,323
Hampton Pirates,-9.4,324
Texas A&M-Commerce Lions,-9.5,325
Idaho Vandals,-9.6,326
Morgan State Bears,-9.7,327
Air Force Falcons,-9.8,328
Army Black Knights,-10.0,329
Prairie View A&M Panthers,-10.2,330
Northwestern State Demons,-10.2,331
Alabama A&M Bulldogs,-10.3,332
Eastern Michigan Eagles,-10.4,333
Southern Indiana Screaming Eagles,-10.5,334
Central Arkansas Bears,-10.5,335
UT Rio Grande Valley Vaqueros,-10.5,336
Dartmouth Big Green,-10.7,337
Manhattan Jaspers,-10.9,338
New Orleans Privateers,-11.1,339
Loyola Maryland Greyhounds,-11.3,340
Incarnate Word Cardinals,-11.6,341
Tennessee Tech Golden Eagles,-11.7,342
Maryland Eastern Shore Hawks,-11.9,343
Buffalo Bulls,-12.1,344
North Carolina A&T Aggies,-12.1,345
Holy Cross Crusaders,-12.3,346
Long Island University Sharks,-12.3,347
Northern Arizona Lumberjacks,-12.5,348
Cal Poly Mustangs,-12.9,349
Florida A&M Rattlers,-13.1,350
Southeast Missouri State Redhawks,-13.3,351
Detroit Mercy Titans,-13.4,352
St. Francis (PA) Red Flash,-13.6,353
Stonehill Skyhawks,-14.0,354
Lindenwood Lions,-14.0,355
Houston Christian Huskies,-14.3,356
Siena Saints,-15.0,357
VMI Keydets,-15.4,358
Coppin State Eagles,-16.5,359
Pacific Tigers,-16.7,360
IU Indianapolis Jaguars,-18.3,361
Mississippi Valley State Delta Devils,-21.9,362
