Team,BPI Rating,BPI Rank
Houston,22.6,1
Kansas,17.8,10
Charleston,5.1,100
DePaul,5.1,101
Braves,5.0,102
Wichita State,5.0,103
Temple,5.0,104
Saint Joseph's,4.8,105
Virginia Tech,4.8,106
Illinois-Chicago,4.5,107
UCSB,4.4,108
Saint Louis,4.3,109
Alabama,17.7,11
Oklahoma State,4.3,110
La Salle,4.2,111
Liberty,4.2,112
James Madison,4.1,113
UC Irvine,4.0,114
Boston College,4.0,115
UAB,3.7,116
South Florida,3.7,117
Oregon State,3.6,118
Fort Wayne,3.5,119
Iowa State,17.4,12
Samford,3.2,120
Santa Clara,3.1,121
Massachusetts,3.0,122
St. Bonaventure,2.9,123
Louisiana Tech,2.6,124
Sam Houston State,2.5,125
UMKC,2.5,126
Charlotte,2.4,127
UNC Greensboro,2.3,128
Rhode Island,2.1,129
Kentucky,17.2,13
Troy,2.0,130
Illinois State,1.9,131
Toledo,1.8,132
Ohio,1.7,133
UNCW,1.7,134
Kent State,1.7,135
Northeastern,1.6,136
Towson,1.5,137
Georgetown,1.3,138
George Washington,0.9,139
Cincinnati,16.6,14
Rice,0.9,140
Northern Iowa,0.8,141
Seattle,0.8,142
Hofstra,0.8,143
Jacksonville State,0.6,144
Tulane,0.6,145
Davidson,0.5,146
Drake,0.4,147
Duquesne,0.4,148
Richmond,0.2,149
Texas,16.3,15
Montana State,0.2,150
Northern Colorado,0.2,151
Vermont,-0.1,152
Cal State Northridge,-0.1,153
Weber State,-0.2,154
Lipscomb,-0.2,155
Texas A&M-CC,-0.3,156
Southern Illinois,-0.5,157
Furman,-0.5,158
Cornell,-0.6,159
Creighton,16.2,16
East Carolina,-0.7,160
UMass Lowell,-0.7,161
Indiana State,-0.8,162
Milwaukee,-0.8,163
Loyola Marymount,-0.8,164
Western Kentucky,-0.8,165
UTRGV,-0.9,166
Wright State,-1.0,167
Fordham,-1.0,168
Drexel,-1.1,169
Marquette,15.9,17
UCSD,-1.1,170
Florida Gulf Coast,-1.2,171
Norfolk State,-1.2,172
Akron,-1.2,173
UNC Asheville,-1.3,174
Miami OH,-1.3,175
Winthrop,-1.3,176
Tulsa,-1.4,177
Texas State,-1.4,178
St. Thomas,-1.4,179
Texas Tech,15.6,18
South Dakota State,-1.4,180
Middle Tennessee State,-1.5,181
UT Arlington,-1.6,182
Columbia,-1.7,183
Nicholls State,-1.8,184
California Baptist,-2.0,185
Saint Peter's,-2.0,186
Chattanooga,-2.0,187
Appalachian State,-2.1,188
Youngstown State,-2.1,189
Illinois,15.2,19
Missouri State,-2.1,190
Brown,-2.2,191
Northern Kentucky,-2.2,192
Central Michigan,-2.4,193
Bryant,-2.5,194
Montana,-2.6,195
Hawaii,-2.7,196
Maine,-2.7,197
Georgia State,-2.7,198
North Florida,-2.8,199
Duke,22.2,2
Purdue,14.9,20
Quinnipiac,-2.8,200
Green Bay,-2.9,201
Ball State,-3.0,202
Mercer,-3.0,203
CCSU,-3.0,204
Wyoming,-3.0,205
ETSU,-3.1,206
Belmont,-3.1,207
Longwood,-3.1,208
Kennesaw State,-3.1,209
Texas A&M,14.7,21
UC Davis,-3.1,210
Marshall,-3.2,211
Colgate,-3.2,212
San Jose State,-3.2,213
Wofford,-3.3,214
Cal State Bakersfield,-3.3,215
Merrimack,-3.3,216
New Mexico State,-3.3,217
William & Mary,-3.3,218
Campbell,-3.4,219
Pittsburgh,14.6,22
Bucknell,-3.4,220
Utah Valley,-3.5,221
Albany,-3.7,222
Valparaiso,-3.7,223
Stephen F. Austin,-3.8,224
Gardner-Webb,-3.9,225
Fairfield,-3.9,226
Monmouth,-4.0,227
Southern Mississippi,-4.0,228
Oakland,-4.0,229
Maryland,14.1,23
Georgia Southern,-4.0,230
Iona,-4.1,231
Bowling Green,-4.2,232
North Carolina Central,-4.2,233
North Dakota State,-4.2,234
Harvard,-4.2,235
Louisiana,-4.2,236
Cleveland State,-4.3,237
North Alabama,-4.3,238
Southern,-4.4,239
Ohio State,14.1,24
UC Riverside,-4.5,240
UTEP,-4.5,241
South Alabama,-4.5,242
Delaware,-4.5,243
American University,-4.6,244
UTSA,-4.6,245
Presbyterian Blue Hose,-4.7,246
Texas Southern,-4.7,247
Boston University,-4.9,248
Morehead State,-4.9,249
St. John's,13.9,25
Austin Peay,-4.9,250
Eastern Kentucky,-5.0,251
Marist,-5.0,252
Abilene Christian,-5.1,253
Southern Utah,-5.1,254
Bethune-Cookman,-5.1,255
Howard,-5.1,256
Northern Arizona,-5.2,257
Radford,-5.2,258
Oral Roberts,-5.2,259
BYU,13.7,26
Little Rock,-5.4,260
Grambling State,-5.5,261
South Carolina State,-5.5,262
North Carolina A&T,-5.6,263
Incarnate Word,-5.6,264
Stony Brook,-5.6,265
Jacksonville,-5.6,266
Pepperdine,-5.7,267
Lamar,-5.7,268
Rider,-5.7,269
Michigan State,13.7,27
Mount St. Mary's,-5.8,270
Army,-5.9,271
Long Beach State,-6.0,272
Hampton,-6.1,273
Wagner,-6.1,274
SIUE,-6.1,275
Portland State,-6.2,276
Elon,-6.2,277
Omaha,-6.2,278
SELA,-6.2,279
Mississippi State,13.6,28
Alabama State,-6.2,280
Lehigh,-6.2,281
Penn,-6.3,282
Lafayette,-6.5,283
Fresno State,-6.5,284
Northern Illinois,-6.6,285
Idaho State,-6.6,286
North Dakota,-6.7,287
Charleston Southern,-6.8,288
Robert Morris,-6.8,289
UCLA,13.6,29
Northwestern State,-6.8,290
Florida International,-6.9,291
Air Force,-7.0,292
Tennessee State,-7.1,293
Western Carolina,-7.2,294
Louisiana-Monroe,-7.3,295
Niagara,-7.4,296
Eastern Michigan,-7.5,297
Queens,-7.6,298
South Dakota,-7.6,299
Auburn,20.1,3
Wisconsin,13.1,30
UMBC,-7.6,300
Dartmouth,-7.6,301
Holy Cross,-7.7,302
Cal Poly,-7.8,303
Sacramento State,-7.8,304
Navy,-7.9,305
Idaho,-7.9,306
Eastern Illinois,-8.0,307
Eastern Washington,-8.2,308
Portland,-8.2,309
Nevada,12.8,31
Loyola-MD,-8.3,310
Cal State Fullerton,-8.4,311
USC Upstate,-8.5,312
Pacific,-8.6,313
Tarleton State,-8.6,314
San Diego,-8.7,315
Southern Indiana,-8.9,316
UT Martin,-8.9,317
Old Dominion,-9.0,318
Sacred Heart,-9.3,319
Florida,12.8,32
Coastal Carolina,-9.4,320
Western Illinois,-9.6,321
West Georgia,-9.7,322
Evansville,-9.9,323
Long Island,-10.0,324
Denver,-10.1,325
Western Michigan,-10.2,326
SEMO,-10.3,327
Le Moyne,-10.3,328
Citadel,-10.5,329
Miami FL,12.7,33
Binghamton,-10.5,330
Fairleigh Dickinson,-10.6,331
Tennessee Tech,-10.6,332
Manhattan,-10.8,333
Jackson State,-10.9,334
St. Francis,-11.0,335
Stetson,-11.0,336
Bellarmine,-11.0,337
New Hampshire,-11.1,338
Utah Tech,-11.1,339
Utah,12.7,34
Central Arkansas,-11.3,340
Siena,-11.6,341
Delaware State,-11.6,342
Alabama A&M,-11.8,343
Texas A&M Commerce,-12.0,344
Chicago State,-12.2,345
Mercyhurst,-12.3,346
Detroit-Mercy,-12.5,347
Morgan State,-12.5,348
Stonehill,-12.6,349
Memphis,12.5,35
Lindenwood,-12.8,350
UMES,-12.9,351
New Orleans,-13.1,352
Houston Christian,-13.3,353
Canisius,-13.6,354
Prairie View,-13.6,355
VMI,-14.2,356
Florida A&M,-14.3,357
IUPUI,-14.4,358
Buffalo,-14.7,359
Michigan,12.4,36
NJIT,-14.8,360
Alcorn State,-15.2,361
Arkansas-Pine Bluff,-15.6,362
Coppin State,-16.2,363
Mississippi Valley State,-21.9,364
Utah State,12.4,37
Clemson,12.2,38
Indiana,12.0,39
Tennessee,19.4,4
Oregon,11.9,40
Oklahoma,11.8,41
Ole Miss,11.4,42
Nebraska,11.4,43
Penn State,11.4,44
TCU,11.3,45
Saint Mary's,11.3,46
Arkansas,11.1,47
Georgia,11.0,48
Northwestern,11.0,49
UConn,19.0,5
NC State,10.9,50
VCU,10.7,51
Boise State,10.7,52
SMU,10.6,53
Iowa,10.5,54
LSU,10.4,55
San Francisco,9.9,56
New Mexico,9.9,57
Villanova,9.9,58
Xavier,9.7,59
North Carolina,18.8,6
Rutgers,9.6,60
USC,9.4,61
Louisville,9.3,62
UCF,9.3,63
Missouri,9.2,64
Notre Dame,8.8,65
San Diego State,8.7,66
Providence,8.7,67
Arizona State,8.3,68
South Carolina,8.3,69
Gonzaga,18.5,7
Butler Bulldogs,8.2,70
Florida Atlantic,8.2,71
McNeese State,8.0,72
Wake Forest,8.0,73
Washington,8.0,74
Murray State,7.9,75
Grand Canyon,7.8,76
Syracuse,7.8,77
Kansas State,7.7,78
Princeton,7.6,79
Baylor,18.1,8
George Mason,7.6,80
UNLV,7.5,81
Washington State,7.4,82
Dayton,7.4,83
Minnesota,7.3,84
West Virginia,7.3,85
Colorado State,7.1,86
Virginia,7.1,87
Colorado,7.0,88
Stanford,6.7,89
Arizona,17.9,9
Vanderbilt,6.7,90
North Texas,6.5,91
Florida State,6.3,92
Seton Hall,6.3,93
Arkansas State,6.1,94
High Point,6.0,95
Loyola Chicago,5.9,96
Yale,5.9,97
California,5.3,98
Georgia Tech,5.2,99
