Team,KP Rank,KP Conference,Win Loss,KP Net Rtg
Auburn,1,SEC,4-0,+30.78
Houston,2,B12,2-1,+30.23
Gonzaga,3,WCC,4-0,+30.00
Duke,4,ACC,3-1,+27.98
UConn,5,BE,3-0,+26.54
Tennessee,6,SEC,4-0,+26.06
Kansas,7,B12,4-0,+24.92
Iowa State,8,B12,3-0,+24.63
Texas Tech,9,B12,4-0,+23.58
Alabama,10,SEC,3-1,+23.36
Cincinnati,11,B12,3-0,+22.89
Purdue,12,B10,4-0,+22.76
Baylor,13,B12,3-1,+22.75
North Carolina,14,ACC,2-1,+22.49
Texas A&M,15,SEC,3-1,+22.23
Pittsburgh,16,ACC,5-0,+21.92
Arizona,17,B12,2-1,+21.72
St. John's,18,BE,4-0,+21.60
Creighton,19,BE,4-0,+21.29
Florida,20,SEC,4-0,+20.97
Marquette,21,BE,4-0,+20.42
Kentucky,22,SEC,3-0,+20.28
UCLA,23,B10,3-1,+19.93
Texas,24,SEC,3-1,+19.72
Illinois,25,B10,3-0,+19.71
Ohio State,26,B10,2-1,+19.67
Michigan,27,B10,3-1,+19.38
Mississippi State,28,SEC,4-0,+19.23
BYU,29,B12,4-0,+19.20
Oregon,30,B10,4-0,+18.29
Indiana,31,B10,3-0,+18.20
Penn State,32,B10,4-0,+18.07
Arkansas,33,SEC,3-1,+17.87
VCU,34,A10,4-0,+17.82
Boise State,35,MWC,3-1,+17.68
Memphis,36,Amer,3-0,+17.34
Maryland,37,B10,3-1,+17.33
Michigan State,38,B10,3-1,+16.77
Nevada,39,MWC,4-0,+16.75
Wisconsin,40,B10,5-0,+16.74
LSU,41,SEC,3-0,+16.70
Saint Mary's,42,WCC,4-0,+16.47
Dayton,43,A10,4-0,+16.44
Xavier,44,BE,4-0,+16.20
Iowa,45,B10,4-0,+16.10
Clemson,46,ACC,3-1,+16.03
Miami FL,47,ACC,3-0,+15.41
Oklahoma,48,SEC,3-0,+15.10
Utah State,49,MWC,4-0,+14.43
Ole Miss,50,SEC,4-0,+14.00
Northwestern,51,B10,3-1,+13.93
Notre Dame,52,ACC,3-0,+13.54
San Francisco,53,WCC,4-0,+13.52
Utah,54,B12,3-1,+13.46
Arizona State,55,B12,4-1,+13.24
UCF,56,B12,3-0,+13.07
Missouri,57,SEC,3-1,+13.03
UC Irvine,58,BW,4-0,+12.94
New Mexico,59,MWC,3-1,+12.86
San Diego State,60,MWC,2-1,+12.84
NC State,61,ACC,4-0,+12.72
TCU,62,B12,3-1,+12.45
Rutgers,63,B10,3-0,+12.03
Nebraska,64,B10,3-1,+12.02
Kansas State,65,B12,2-1,+11.94
Stanford,66,ACC,4-0,+11.78
Georgia,67,SEC,4-0,+11.62
Louisville,68,ACC,1-1,+11.53
SMU,69,ACC,4-1,+11.43
Colorado,70,B12,4-0,+10.93
South Carolina,71,SEC,2-2,+10.84
Liberty,72,CUSA,4-1,+10.73
Villanova,73,BE,2-3,+10.68
North Texas,74,Amer,3-1,+10.36
Minnesota,75,B10,3-1,+10.00
USC,76,B10,3-1,+9.95
Virginia,77,ACC,3-0,+9.95
Wake Forest,78,ACC,4-1,+9.62
Grand Canyon,79,WAC,2-1,+9.50
Florida Atlantic,80,Amer,3-2,+9.38
Providence,81,BE,4-0,+9.18
Louisiana Tech,82,CUSA,4-0,+9.17
Loyola Chicago,83,A10,4-0,+9.16
Washington,84,B10,3-1,+9.08
West Virginia,85,B12,2-1,+8.70
Princeton,86,Ivy,4-1,+8.58
Vanderbilt,87,SEC,4-0,+8.52
Butler Bulldogs,88,BE,3-1,+8.41
Washington State,89,WCC,4-1,+8.35
Florida State,90,ACC,3-1,+8.20
Oklahoma State,91,B12,3-0,+8.15
Murray State,92,MVC,2-1,+8.14
Wichita State,93,Amer,4-0,+7.48
Colorado State,94,MWC,3-1,+7.33
UNLV,95,MWC,2-1,+7.31
George Mason,96,A10,2-3,+7.29
Seton Hall,97,BE,2-2,+7.23
Oregon State,98,WCC,4-0,+6.99
Saint Joseph's,99,A10,3-1,+6.91
Braves,100,MVC,3-1,+6.86
McNeese State,101,Slnd,2-2,+6.65
UAB,102,Amer,3-2,+6.61
Yale,103,Ivy,2-3,+6.59
Arkansas State,104,SB,3-1,+6.56
Georgia Tech,105,ACC,2-2,+6.45
Syracuse,106,ACC,3-0,+6.30
Rhode Island,107,A10,3-0,+6.17
High Point,108,BSth,5-0,+5.99
Virginia Tech,109,ACC,3-1,+5.68
Sam Houston State,110,CUSA,2-2,+5.54
St. Bonaventure,111,A10,4-0,+5.18
DePaul,112,BE,4-0,+4.92
Fort Wayne,113,Horz,3-1,+4.67
UCSB,114,BW,4-0,+4.58
California,115,ACC,3-1,+4.38
Georgetown,116,BE,2-1,+4.24
Saint Louis,117,A10,2-1,+4.13
Temple,118,Amer,3-1,+4.01
La Salle,119,A10,4-0,+3.89
Davidson,120,A10,3-0,+3.66
South Florida,121,Amer,2-2,+3.61
Troy,122,SB,2-2,+3.54
Santa Clara,123,WCC,1-3,+3.45
Drake,124,MVC,3-0,+3.25
Western Kentucky,125,CUSA,2-2,+2.98
Charleston,126,CAA,3-1,+2.90
Vermont,127,AE,1-3,+2.89
UMass Lowell,128,AE,2-2,+2.83
Lipscomb,129,ASun,2-3,+2.79
Northern Iowa,130,MVC,2-2,+2.74
Kent State,131,MAC,2-1,+2.73
Seattle,132,WAC,1-3,+2.63
Hofstra,133,CAA,4-0,+2.60
Southern Illinois,134,MVC,2-2,+2.51
Massachusetts,135,A10,1-3,+2.49
Charlotte,136,Amer,2-1,+2.29
UCSD,137,BW,2-2,+2.28
Akron,138,MAC,1-2,+2.26
East Carolina,139,Amer,4-0,+2.14
UC Riverside,140,BW,2-2,+2.11
Toledo,141,MAC,3-1,+1.96
Utah Valley,142,WAC,2-1,+1.87
Northeastern,143,CAA,3-1,+1.84
Boston College,144,ACC,2-1,+1.81
Furman,145,SC,4-0,+1.76
George Washington,146,A10,4-0,+1.74
Samford,147,SC,4-1,+1.60
Towson,148,CAA,2-2,+1.53
Loyola Marymount,149,WCC,1-2,+1.10
Belmont,150,MVC,3-1,+0.67
Texas State,151,SB,2-2,+0.57
Tulsa,152,Amer,3-1,+0.52
New Mexico State,153,CUSA,3-0,+0.35
Bryant,154,AE,3-1,+0.34
Middle Tennessee State,155,CUSA,3-1,+0.19
Columbia,156,Ivy,5-0,+0.17
California Baptist,157,WAC,3-1,+0.05
Northern Colorado,158,BSky,3-2,-0.05
Tulane,159,Amer,3-1,-0.24
UNCW,160,CAA,3-0,-0.34
UC Davis,161,BW,2-2,-0.38
Ohio,162,MAC,1-3,-0.40
North Alabama,163,ASun,3-2,-0.55
Wofford,164,SC,1-3,-0.56
Marshall,165,SB,3-1,-0.65
Fordham,166,A10,2-2,-0.77
UNC Greensboro,167,SC,2-1,-0.78
Illinois-Chicago,168,MVC,3-1,-0.83
Chattanooga,169,SC,2-3,-0.94
UT Arlington,170,WAC,2-2,-0.97
North Florida,171,ASun,3-2,-1.05
Cornell,172,Ivy,3-1,-1.09
St. Thomas,173,Sum,3-2,-1.18
UNC Asheville,174,BSth,1-2,-1.25
James Madison,175,SB,2-2,-1.37
Longwood,176,BSth,4-0,-1.46
Hawaii,177,BW,4-0,-1.48
Winthrop,178,BSth,4-2,-1.51
ETSU,179,SC,2-2,-1.66
Youngstown State,180,Horz,1-2,-1.79
Louisiana,181,SB,1-2,-1.79
Jacksonville State,182,CUSA,3-1,-1.94
Stephen F. Austin,183,Slnd,2-2,-1.99
Appalachian State,184,SB,1-2,-2.02
Wright State,185,Horz,3-2,-2.14
Northern Kentucky,186,Horz,0-3,-2.21
Illinois State,187,MVC,3-1,-2.22
South Dakota State,188,Sum,3-1,-2.33
Kennesaw State,189,CUSA,3-1,-2.33
Jacksonville,190,ASun,2-2,-2.35
Saint Peter's,191,MAAC,1-3,-2.37
Cleveland State,192,Horz,3-2,-2.47
Missouri State,193,MVC,2-1,-2.53
Duquesne,194,A10,0-3,-2.59
Drexel,195,CAA,2-2,-2.64
Oakland,196,Horz,1-3,-2.81
Abilene Christian,197,WAC,3-1,-2.89
Norfolk State,198,MEAC,4-1,-2.93
UTRGV,199,Slnd,3-3,-2.98
William & Mary,200,CAA,3-3,-2.98
Central Michigan,201,MAC,2-2,-3.01
