Team,SOS Rank,SOS Rating
Houston,1,13.7
Baylor,2,12.9
Auburn,3,12.1
Gonzaga,4,11.3
Florida A&M,5,10.9
North Carolina,6,10.6
Ohio State,7,10.4
Jackson State,8,9.6
Purdue,9,9.3
Alabama,10,8.8
Duke,11,8.7
Marquette,12,8.7
Kentucky,13,8.6
Kansas,14,8.4
New Mexico,15,8.3
Texas A&M,16,7.4
Arizona,17,6.9
Northern Kentucky,18,6.4
Arizona State,19,6.3
Lehigh,20,5.9
Murray State,21,5.6
UNC Asheville,22,5.5
Sam Houston State,23,5.4
Tennessee,24,5.3
Arkansas,25,5.3
Boise State,26,5.3
Memphis,27,5.1
Florida Gulf Coast,28,4.8
Monmouth,29,4.7
Saint Peter's,30,4.3
Texas,31,4.2
San Diego State,32,4.2
West Virginia,33,4.1
Lipscomb,34,4.1
UCF,35,3.9
Michigan State,36,3.9
Santa Clara,37,3.7
Florida Atlantic,38,3.7
Michigan,39,3.6
Yale,40,3.6
McNeese State,41,3.5
Cal State Fullerton,42,3.5
Gardner-Webb,43,3.4
Louisville,44,3.4
Ohio,45,3.2
Oakland,46,3.2
St. Francis,47,3.0
South Carolina,48,3.0
UC Riverside,49,2.9
Bethune-Cookman,50,2.6
Youngstown State,51,2.5
Clemson,52,2.3
Towson,53,2.3
Mississippi State,54,2.2
Merrimack,55,2.2
Vermont,56,2.1
Central Michigan,57,2.1
North Florida,58,2.1
Saint Mary's,59,2.0
Wisconsin,60,2.0
Troy,61,2.0
Maryland,62,1.9
Wake Forest,63,1.7
Arkansas State,64,1.7
UCLA,65,1.7
Akron,66,1.7
Grand Canyon,67,1.7
Charleston,68,1.6
Liberty,69,1.6
Utah,70,1.5
California,71,1.5
Montana State,72,1.5
North Texas,73,1.4
Missouri,74,1.3
Florida,75,1.3
Texas A&M-CC,76,1.3
George Mason,77,1.3
Texas A&M Commerce,78,1.3
Nevada,79,1.3
Kent State,80,1.1
TCU,81,1.0
Washington State,82,1.0
Texas Southern,83,1.0
UMass Lowell,84,1.0
