Team,RPI Rank,RPI Rating
Purdue,1,0.680
UConn,2,0.657
Houston,3,0.657
Tennessee,4,0.633
Alabama,5,0.632
San Diego St,6,0.630
Dayton,7,0.628
N Carolina,8,0.627
Illinois,9,0.626
Iowa St,10,0.622
Drake,11,0.621
Arizona,12,0.621
Auburn,13,0.621
Utah St,14,0.616
Marquette,15,0.614
Kansas,16,0.608
Duke,17,0.604
Baylor,18,0.603
Grd Canyon,19,0.602
Colorado St,20,0.601
Clemson,21,0.600
New Mexico,22,0.600
Colorado,23,0.599
Creighton,24,0.598
Indiana St,25,0.598
Gonzaga,26,0.597
Wisconsin,27,0.596
Fla Atlantic,28,0.595
Nevada,29,0.594
Duquesne,30,0.594
Florida,31,0.590
Yale,32,0.589
Samford,33,0.587
Princeton,34,0.587
Wash State,35,0.585
Vermont,36,0.585
Boise St,37,0.584
St Marys,38,0.583
S Carolina,39,0.583
Syracuse,40,0.581
Bradley,41,0.580
Oregon,42,0.579
NC State,43,0.579
Texas Tech,44,0.579
Nebraska,45,0.578
Miss State,46,0.577
Kentucky,47,0.576
VCU,48,0.574
BYU,49,0.574
Virginia,50,0.573
Northwestern,51,0.572
McNeese St,52,0.572
Seton Hall,53,0.572
Loyola-Chi,54,0.571
S Florida,55,0.571
Michigan St,56,0.570
UAB,57,0.569
UNLV,58,0.569
Cornell,59,0.567
Texas,60,0.567
Texas A&M,61,0.567
App State,62,0.566
Memphis,63,0.566
UC Irvine,64,0.564
Col Charlestn,65,0.564
James Mad,66,0.563
Richmond,67,0.563
Utah,68,0.562
St Johns,69,0.560
Pittsburgh,70,0.560
Mississippi,71,0.559
Cincinnati,72,0.559
Indiana,73,0.558
Ohio St,74,0.555
Oakland,75,0.555
TX Christian,76,0.553
Oklahoma,77,0.553
Akron,78,0.553
Wake Forest,79,0.552
Iowa,80,0.549
Providence,81,0.549
Florida St,82,0.548
Geo Mason,83,0.548
LA Tech,84,0.548
VA Tech,85,0.548
St Bonavent,86,0.548
Morehead St,87,0.547
N Iowa,88,0.547
St Josephs,89,0.546
Boston Col,90,0.546
Tarleton St,91,0.546
U Mass,92,0.545
Georgia,93,0.544
Belmont,94,0.544
Kansas St,95,0.543
NC-Wilmgton,96,0.543
Charlotte,97,0.542
Villanova,98,0.540
Hofstra,99,0.540
High Point,100,0.539
Xavier,101,0.538
Washington,102,0.538
W Carolina,103,0.537
S Methodist,104,0.535
San Francisco,105,0.533
TX-Arlington,106,0.533
Mass Lowell,107,0.531
Toledo,108,0.531
UCF,109,0.531
North Texas,110,0.530
Sam Hous St,111,0.529
Colgate,112,0.529
E Washingtn,113,0.529
Seattle,114,0.528
NC-Grnsboro,115,0.528
NC-Asheville,116,0.528
Drexel,117,0.528
Santa Clara,118,0.526
Bryant,119,0.526
Butler,120,0.526
USC,121,0.526
Arkansas St,122,0.525
Arkansas,123,0.524
Montana,124,0.524
